species_id;GBIF_species_id;GBIF_species_name
0;5356345;Laburnum anagyroides
1;2874515;Cucurbita maxima
2;2874569;Cucumis sativus
3;3033363;Ranunculus acris
4;3034830;Heracleum sphondylium
5;2888380;Eschscholzia californica
6;5333294;Castanea sativa
7;2770868;Aphyllanthes monspeliensis
8;7311306;Daphne gnidium
9;2925303;Lantana camara
10;2891079;Geranium macrorrhizum
11;3153912;Magnolia stellata
12;7749287;Petasites albus
13;3738478;Lathraea squamaria
14;6370689;Capparis spinosa
15;5372513;Salix alba
16;2853283;Pancratium maritimum
17;2683217;Cycas revoluta
18;3125948;Santolina decumbens
19;2891488;Geranium molle
20;3053522;Berteroa incana
21;3833284;Choisya ternata
22;5364245;Poterium sanguisorba
23;2705185;Sorghum halepense
24;2869680;Spathiphyllum wallisii
25;5284871;Picea pungens
26;2985865;Hylotelephium telephium
27;2927245;Stachys palustris
28;5414457;Centaurium erythraea
29;5324959;Himantoglossum robertianum
30;2888728;Sambucus nigra
31;7298931;Centranthus angustifolius
32;3169379;Lysimachia nummularia
33;3089154;Xanthium strumarium
34;2773902;Anthericum liliago
35;3188684;Cuphea ignea
36;3117449;Erigeron annuus
37;6371424;Rhamnus alaternus
38;3025617;Cotoneaster horizontalis
39;2930617;Solanum melongena
40;3033905;Berberis darwinii
41;7155887;Adenium obesum
42;5403304;Crepis capillaris
43;3085191;Celosia argentea
44;3002333;Rosa spinosissima
45;2774846;Chlorophytum comosum
46;3105782;Sonchus asper
47;5938224;Fuchsia magellanica
48;7821030;Polygonum aviculare
49;5361944;Broussonetia papyrifera
50;2932184;Solanum sisymbriifolium
51;5295911;Paris quadrifolia
52;5331181;Viola odorata
53;2872695;Anthurium andraeanum
54;3152614;Abutilon theophrasti
55;2930137;Solanum lycopersicum
56;3033263;Anemone nemorosa
57;3190129;Citrus trifoliata
58;2927230;Stachys byzantina
59;7102937;Euonymus japonicus
60;2888859;Muehlenbeckia complexa
61;2755063;Dioscorea communis
62;7828157;Petroselinum crispum
63;5361930;Ficus pumila
64;5367273;Potentilla reptans
65;3170040;Gentiana lutea
66;3109086;Senecio inaequidens
67;2985682;Aeonium arboreum
68;3190538;Rhus typhina
69;5371473;Actaea spicata
70;3033339;Ranunculus repens
71;8208358;Plantago lanceolata
72;9488226;Iris jacquinii
73;7874883;Veronica chamaedrys
74;2928726;Fabiana imbricata
75;3638282;Orlaya grandiflora
76;9063248;Galium verum
77;5361909;Ficus carica
78;2874027;Cistus salviifolius
79;2760967;Heliconia rostrata
80;5421144;Dodonaea viscosa
81;3082279;Ceratostigma plumbaginoides
82;2849427;Orchis mascula
83;2959443;Gleditsia triacanthos
84;3170115;Gentiana cruciata
85;2926130;Pentaglottis sempervirens
86;3085440;Cerastium glomeratum
87;3067157;Euphorbia milii
88;3034922;Foeniculum vulgare
89;3032762;Saxifraga stolonifera
90;3085038;Iresine diffusa
91;7424655;Fremontodendron californicum
92;9605163;Magnolia grandiflora
93;8149099;Chenopodiastrum murale
94;5341246;Mertensia maritima
95;2888615;Viburnum lantana
96;2860409;Leucojum vernum
97;3189636;Camellia japonica
98;3169836;Allamanda cathartica
99;5372952;Salix caprea
100;3190171;Citrus limon
101;5371685;Caltha palustris
102;3171947;Verbascum lychnitis
103;2859597;Ipheion uniflorum
104;2879098;Quercus ilex
105;3026162;Cotoneaster franchetii
106;6109611;Amaranthus caudatus
107;3034046;Persea americana
108;5373358;Lobularia maritima
109;3188924;Oenothera biennis
110;5383983;Schlumbergera truncata
111;2911624;Nertera granadensis
112;2740024;Gloriosa superba
113;7331741;Melampyrum arvense
114;3172358;Fraxinus excelsior
115;7613490;Campsis radicans
116;5384031;Epiphyllum oxypetalum
117;2702792;Briza maxima
118;3189863;Acer campestre
119;4048802;Linum narbonense
120;6411750;Salvia leucantha
121;3921611;Clematis flammula
122;3082263;Cornus mas
123;2927303;Lavandula stoechas
124;5355395;Spartium junceum
125;3190653;Ailanthus altissima
126;5414601;Russelia equisetiformis
127;3189172;Epilobium hirsutum
128;2951984;Ulex europaeus
129;3152820;Platanus occidentalis
130;2767189;Prospero autumnale
131;8351737;Hedera helix
132;3185393;Metrosideros excelsa
133;3105375;Carlina hispanica
134;2704922;Festuca rubra
135;2927190;Mentha suaveolens
136;2867866;Syngonium podophyllum
137;2995209;Rubus caesius
138;5290052;Zea mays
139;3189767;Plantago major
140;8252683;Crataegus laevigata
141;2778457;Asphodelus albus
142;3176283;Eucalyptus gunnii
143;2878826;Quercus pyrenaica
144;8207244;Gentiana purpurea
145;7275851;Chimonanthus praecox
146;8405971;Escallonia rubra
147;3034426;Eryngium campestre
148;2769172;Leopoldia comosa
149;8184143;Zinnia elegans
150;5391480;Calendula officinalis
151;6391648;Persicaria amphibia
152;2891770;Impatiens glandulifera
153;2840590;Gymnadenia nigra
154;7262958;Acer monspessulanum
155;8108066;Asplenium trichomanes
156;2858244;Narcissus pseudonarcissus
157;3152379;Malva moschata
158;5353590;Cercis siliquastrum
159;2849624;Orchis anthropophora
160;3169830;Catharanthus roseus
161;3188698;Cuphea hyssopifolia
162;2986097;Ribes rubrum
163;3172261;Jasminum officinale
164;5334278;Abelia grandiflora
165;2926612;Origanum vulgare
166;3191402;Polygala myrtifolia
167;3095609;Pulicaria dysenterica
168;2988069;Filipendula vulgaris
169;3738544;Lathraea clandestina
170;5333410;Erica arborea
171;2856037;Allium ampeloprasum
172;7307319;Clinopodium alpinum
173;8002952;Ambrosia artemisiifolia
174;2965527;Medicago arabica
175;7282762;Gymnocalycium mihanovichii
176;3169120;Euonymus alatus
177;3034915;Astrantia major
178;5414976;Bellardia trixago
179;6366886;Blackstonia perfoliata
180;3021496;Prunus laurocerasus
181;8377689;Primula veris
182;5304583;Dracaena fragrans
183;2882482;Calluna vulgaris
184;7734774;Linum campanulatum
185;5334240;Lonicera japonica
186;7782336;Matthiola sinuata
187;8105693;Melittis melissophyllum
188;5376309;Diplotaxis erucoides
189;5390618;Cota tinctoria
190;3845298;Melianthus major
191;5371742;Anthriscus sylvestris
192;3188725;Lagerstroemia indica
193;5300535;Fritillaria meleagris
194;3189486;Hypericum perforatum
195;2926901;Teucrium scorodonia
196;3065239;Euphorbia amygdaloides
197;3140490;Lactuca serriola
198;3085420;Dianthus caryophyllus
199;5408269;Lobelia cardinalis
200;5376961;Lepidium draba
201;5284884;Picea abies
202;3039491;Rhamnus cathartica
203;3152374;Malva sylvestris
204;3031774;Mespilus germanica
205;5369652;Geum urbanum
206;8366345;Jasione montana
207;2888625;Viburnum rhytidophyllum
208;6363863;Arenaria montana
209;2857601;Allium ursinum
210;3172057;Veronica serpyllifolia
211;3039269;Elaeagnus angustifolia
212;6026828;Thapsia villosa
213;3066386;Euphorbia peplus
214;5334247;Lonicera etrusca
215;3172077;Veronica persica
216;3033077;Aucuba japonica
217;6375040;Helleborus foetidus
218;6446462;Solidago virgaurea
219;2964025;Lupinus angustifolius
220;2684709;Juniperus communis
221;3020871;Prunus lusitanica
222;4063960;Aegonychon purpurocaeruleum
223;2926557;Glechoma hederacea
224;5358748;Trifolium repens
225;2926906;Leonotis leonurus
226;3093539;Osteospermum ecklonis
227;2925655;Duranta erecta
228;3082234;Cornus sanguinea
229;5421180;Koelreuteria paniculata
230;2874717;Begonia cucullata
231;8993502;Silene italica
232;5290177;Lagurus ovatus
233;5361785;Myriophyllum aquaticum
234;5334190;Glaucium flavum
235;3146888;Erigeron glaucus
236;3189132;Epilobium canum
237;2876607;Alnus cordata
238;7334731;Graptopetalum paraguayense
239;2882316;Fagus sylvatica
240;5300716;Fritillaria imperialis
241;3093911;Hypochaeris glabra
242;3022789;Prunus mahaleb
243;7995177;Atocion armeria
244;2705290;Avena sativa
245;5362215;Cydonia oblonga
246;2926679;Lamium amplexicaule
247;3172086;Veronica anagallis-aquatica
248;7325947;Phillyrea angustifolia
249;2650669;Asplenium scolopendrium
250;5567694;Bergenia crassifolia
251;2792998;Ophrys apifera
252;5385604;Antennaria dioica
253;3082283;Plumbago auriculata
254;2890920;Geranium sanguineum
255;3054368;Juglans regia
256;3169756;Nerium oleander
