family	decimalLatitude	decimalLongitude
Lauraceae	34.883333	-79.816667
Lauraceae	34.233333	-77.833333
Lauraceae	33.833333	-78.583333
Lauraceae	36.85	-76.016667
Lauraceae	35.833333	-79.05
Lauraceae	35.583333	-77.183333
Lauraceae	35.833333	-79.05
Cactaceae	33.729927	-115.797905
Saxifragaceae	38.741524	-120.037193
Liliaceae	38.18047	-119.762955
Melanthiaceae	38.567108	-123.317101
Asparagaceae	37.606129	-119.9664
Primulaceae	43.749561	-71.408028
Rhodomelaceae	37.494405	-122.498374
Colchicaceae	42.648971	-73.181772
Montiaceae	42.648971	-73.181772
Asparagaceae	37.410927	-122.235886
Rhamnaceae	37.408169	-122.235725
Onagraceae	37.403656	-122.241013
Polypodiaceae	37.410854	-122.236282
Malvaceae	36.135739	-115.427884
Onagraceae	39.598816	-121.546307
Ericaceae	38.569917	-122.7295
Malvaceae	42.713779	-73.203911
Ericaceae	41.408821	-72.523399
Scrophulariaceae	41.319702	-72.048853
Ericaceae	41.415402	-72.580453
Rosaceae	41.414216	-72.581309
Plantaginaceae	34.292883	-118.012812
Montiaceae	34.293928	-118.011862
Brassicaceae	34.294903	-118.00728
Papaveraceae	34.22428	-118.062005
Polygonaceae	34.12817	-118.542483
Rosaceae	34.141263	-118.541378
Fabaceae	34.296583	-118.007112
Hydrophyllaceae	34.29298	-118.008217
Apocynaceae	34.295655	-118.00725
Cactaceae	34.138158	-118.544425
Asteraceae	34.131022	-118.545805
Asteraceae	34.139088	-118.543422
Asteraceae	34.136313	-118.545987
Asteraceae	34.127208	-118.543103
Rosaceae	34.135445	-118.546555
Convolvulaceae	34.130228	-118.544575
Geraniaceae	34.127197	-118.54317
Lamiaceae	34.130262	-118.544888
Papaveraceae	34.158442	-118.226941
Asteraceae	34.13977	-118.542638
Asteraceae	34.136192	-118.54595
Celastraceae	43.61433	-110.811882
Onagraceae	34.136192	-118.54595
Rhamnaceae	34.135628	-118.546325
Grossulariaceae	34.132883	-118.547292
Convolvulaceae	34.136192	-118.54595
Asteraceae	34.128787	-118.51995
Lamiaceae	34.139297	-118.543013
Ranunculaceae	34.13568	-118.546225
Asparagaceae	35.704844	-118.067665
Fabaceae	34.251891	-118.208627
Plantaginaceae	34.138158	-118.544425
Hydrophyllaceae	34.181702	-118.095646
Caprifoliaceae	34.139213	-118.543353
Fabaceae	34.128958	-118.542967
Fouquieriaceae	35.045316	-114.3645
Phrymaceae	43.612217	-110.803299
Lamiaceae	34.181986	-118.094101
Cistaceae	34.127899	-118.476648
Caprifoliaceae	34.069331	-118.342366
Grossulariaceae	34.138158	-118.544425
Papaveraceae	34.733149	-118.396397
Papaveraceae	34.384487	-118.268565
Cucurbitaceae	34.050299	-118.328264
Juglandaceae	34.225295	-118.181598
Anacardiaceae	34.13565	-118.546255
Fabaceae	34.129022	-118.506303
Lamiaceae	34.139088	-118.543422
